Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		10,448 K	80,080 K	88		
System Idle Process	58.02	60 K	8 K	0		
System	0.41	196 K	148 K	4		
 Interrupts	1.74	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,160 K	1,176 K	332		
 Memory Compression		68 K	268 K	1592		
csrss.exe		1,620 K	5,572 K	420		
csrss.exe	0.20	1,868 K	5,116 K	500		
wininit.exe		1,328 K	6,728 K	548		
 services.exe		4,700 K	9,408 K	632		
  svchost.exe		920 K	3,896 K	740	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		10,012 K	25,636 K	760	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		18,224 K	58,836 K	4772		
   RuntimeBroker.exe		3,964 K	22,088 K	5096	Runtime Broker	Microsoft Corporation
   WmiPrvSE.exe		4,096 K	11,824 K	2580		
   RuntimeBroker.exe		14,096 K	42,116 K	5148	Runtime Broker	Microsoft Corporation
   SkypeApp.exe	Suspended	12,276 K	31,248 K	5296	SkypeApp	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,988 K	2,064 K	5356	Microsoft Skype	Microsoft Corporation
   RuntimeBroker.exe		2,520 K	14,960 K	3444	Runtime Broker	Microsoft Corporation
   smartscreen.exe		13,412 K	29,700 K	4304	Windows Defender SmartScreen	Microsoft Corporation
   SearchUI.exe	Suspended	103,220 K	176,676 K	5264	Search and Cortana application	Microsoft Corporation
   WmiPrvSE.exe		2,760 K	9,296 K	3064		
   ApplicationFrameHost.exe		15,428 K	33,748 K	7068	Application Frame Host	Microsoft Corporation
   WinStore.App.exe	Suspended	14,432 K	7,052 K	5088	Store	Microsoft Corporation
   RuntimeBroker.exe		1,588 K	7,052 K	5816	Runtime Broker	Microsoft Corporation
   SystemSettings.exe	Suspended	19,016 K	14,272 K	6788	Settings	Microsoft Corporation
   dllhost.exe		4,556 K	12,108 K	5712	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		3,236 K	14,152 K	1396	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe	< 0.01	3,740 K	15,712 K	7228	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	4,144 K	14,952 K	2132	Microsoft Edge Web Platform	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	23,672 K	67,620 K	7516	Microsoft Edge	Microsoft Corporation
   browser_broker.exe		1,660 K	8,200 K	7852	Browser_Broker	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	32,540 K	71,308 K	4712	Microsoft Edge Content Process	Microsoft Corporation
   backgroundTaskHost.exe	Suspended	10,996 K	20,472 K	7756	Background Task Host	Microsoft Corporation
   RuntimeBroker.exe	0.01	5,996 K	21,152 K	1708	Runtime Broker	Microsoft Corporation
   dllhost.exe		1,640 K	6,548 K	256	COM Surrogate	Microsoft Corporation
  svchost.exe	0.02	7,460 K	13,768 K	876	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,320 K	8,100 K	924	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,000 K	7,620 K	8	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,192 K	10,120 K	700	Host Process for Windows Services	Microsoft Corporation
